Teste;Algoritmo;Tamanho_Base;Tamanho_Procurada;Casa_Casamento;Tempo_Execucao_ms;Numero_Comparacoes;Houve_Casamento
113;Força Bruta;1000000;15;-1;5,99;1332551;Não
114;Força Bruta;1000000;15;-1;7,09;1334881;Não
115;Força Bruta;1000000;15;-1;5,94;1334434;Não
116;Força Bruta;1000000;15;-1;5,44;1333230;Não
117;Força Bruta;1000000;15;-1;5,98;1331666;Não
118;Força Bruta;1000000;15;-1;5,68;1333362;Não
119;Força Bruta;1000000;15;-1;6,03;1333544;Não
120;Força Bruta;1000000;15;-1;5,47;1334435;Não
121;Força Bruta;5000000;8;109881;0,57;146260;Sim
122;Força Bruta;5000000;8;30572;0,27;40782;Sim
123;Força Bruta;5000000;8;11176;0,07;14837;Sim
124;Força Bruta;5000000;8;51968;0,30;69235;Sim
125;Força Bruta;5000000;8;14469;0,08;19331;Sim
126;Força Bruta;5000000;8;32662;0,19;43591;Sim
127;Força Bruta;5000000;8;46122;0,24;61540;Sim
128;Força Bruta;5000000;8;24997;0,15;33219;Sim
129;Força Bruta;5000000;8;69149;0,40;92341;Sim
130;Força Bruta;5000000;8;36366;0,20;48743;Sim
131;Força Bruta;5000000;10;1387983;7,60;1850783;Sim
132;Força Bruta;5000000;10;613448;3,55;818032;Sim
133;Força Bruta;5000000;10;1051306;6,05;1401851;Sim
134;Força Bruta;5000000;10;506720;3,29;675214;Sim
135;Força Bruta;5000000;10;959091;5,11;1279697;Sim
136;Força Bruta;5000000;10;942868;5,50;1256804;Sim
137;Força Bruta;5000000;10;86198;0,51;114948;Sim
138;Força Bruta;5000000;10;383039;2,23;510866;Sim
139;Força Bruta;5000000;10;416431;2,42;555573;Sim
140;Força Bruta;5000000;10;329262;1,75;439553;Sim
141;Força Bruta;5000000;12;4902592;25,62;6536961;Sim
142;Força Bruta;5000000;12;2448151;14,29;3266180;Sim
143;Força Bruta;5000000;12;-1;29,31;6666459;Não
144;Força Bruta;5000000;12;4832103;28,47;6441938;Sim
145;Força Bruta;5000000;12;-1;26,74;6668125;Não
146;Força Bruta;5000000;12;-1;29,45;6666166;Não
147;Força Bruta;5000000;12;-1;25,96;6671830;Não
148;Força Bruta;5000000;12;-1;29,37;6667021;Não
149;Força Bruta;5000000;12;1337301;7,91;1784404;Sim
150;Força Bruta;5000000;12;-1;28,03;6667967;Não
151;Força Bruta;5000000;15;-1;30,19;6666962;Não
152;Força Bruta;5000000;15;-1;29,89;6667985;Não
153;Força Bruta;5000000;15;-1;30,11;6666455;Não
154;Força Bruta;5000000;15;-1;33,80;6665451;Não
155;Força Bruta;5000000;15;-1;27,66;6668121;Não
156;Força Bruta;5000000;15;-1;29,21;6666163;Não
157;Força Bruta;5000000;15;-1;26,64;6671826;Não
158;Força Bruta;5000000;15;-1;29,71;6667016;Não
159;Força Bruta;5000000;15;-1;34,34;6668061;Não
160;Força Bruta;5000000;15;-1;27,27;6667964;Não
161;Força Bruta;10000000;8;133165;1,08;177935;Sim
162;Força Bruta;10000000;8;21586;0,13;28855;Sim
163;Força Bruta;10000000;8;122160;0,71;162831;Sim
164;Força Bruta;10000000;8;224703;1,45;299368;Sim
165;Força Bruta;10000000;8;7183;0,05;9697;Sim
166;Força Bruta;10000000;8;73337;0,43;97714;Sim
167;Força Bruta;10000000;8;27161;0,26;36363;Sim
168;Força Bruta;10000000;8;27581;0,16;36849;Sim
169;Força Bruta;10000000;8;46875;0,28;62714;Sim
170;Força Bruta;10000000;8;88616;0,52;118342;Sim
171;Força Bruta;10000000;10;216051;1,39;288571;Sim
172;Força Bruta;10000000;10;927441;5,67;1236835;Sim
173;Força Bruta;10000000;10;385132;2,36;513952;Sim
174;Força Bruta;10000000;10;688992;4,04;917442;Sim
175;Força Bruta;10000000;10;7183;0,04;9699;Sim
176;Força Bruta;10000000;10;402308;2,36;536279;Sim
177;Força Bruta;10000000;10;132001;0,80;176049;Sim
178;Força Bruta;10000000;10;1069880;6,56;1425686;Sim
179;Força Bruta;10000000;10;1040075;6,20;1387079;Sim
