Teste,Tamanho_Base,Tamanho_Procurada,Casa_Casamento,Tempo_Execucao_ms,Numero_Comparacoes,Houve_Casamento
149,5000000,12,1337301,8,09,1784404,Sim
150,5000000,12,-1,27,65,6667967,Não
151,5000000,15,-1,26,93,6666962,Não
152,5000000,15,-1,30,68,6667985,Não
153,5000000,15,-1,29,37,6666455,Não
154,5000000,15,-1,30,62,6665451,Não
155,5000000,15,-1,27,23,6668121,Não
156,5000000,15,-1,30,19,6666163,Não
157,5000000,15,-1,26,18,6671826,Não
158,5000000,15,-1,29,77,6667016,Não
159,5000000,15,-1,29,73,6668061,Não
160,5000000,15,-1,26,93,6667964,Não
161,10000000,8,133165,0,79,177935,Sim
162,10000000,8,21586,0,16,28855,Sim
163,10000000,8,122160,0,77,162831,Sim
164,10000000,8,224703,1,33,299368,Sim
165,10000000,8,7183,0,04,9697,Sim
166,10000000,8,73337,0,47,97714,Sim
167,10000000,8,27161,0,19,36363,Sim
168,10000000,8,27581,0,17,36849,Sim
169,10000000,8,46875,0,42,62714,Sim
170,10000000,8,88616,0,54,118342,Sim
171,10000000,10,216051,1,30,288571,Sim
172,10000000,10,927441,5,44,1236835,Sim
173,10000000,10,385132,2,34,513952,Sim
174,10000000,10,688992,4,04,917442,Sim
175,10000000,10,7183,0,04,9699,Sim
176,10000000,10,402308,2,46,536279,Sim
177,10000000,10,132001,0,80,176049,Sim
178,10000000,10,1069880,6,55,1425686,Sim
179,10000000,10,1040075,6,16,1387079,Sim
180,10000000,10,314433,1,96,419392,Sim
181,10000000,12,-1,58,21,13331068,Não
182,10000000,12,-1,57,62,13333869,Não
183,10000000,12,-1,58,59,13335492,Não
184,10000000,12,7049793,41,05,9399709,Sim
185,10000000,12,-1,54,10,13334050,Não
186,10000000,12,-1,59,62,13332510,Não
187,10000000,12,-1,59,50,13330722,Não
188,10000000,12,-1,59,72,13332767,Não
189,10000000,12,-1,59,56,13334527,Não
190,10000000,12,-1,59,38,13336710,Não
191,10000000,15,-1,57,92,13331065,Não
192,10000000,15,-1,58,25,13333866,Não
193,10000000,15,-1,60,14,13335487,Não
194,10000000,15,-1,58,12,13334752,Não
195,10000000,15,-1,55,31,13334047,Não
196,10000000,15,-1,59,57,13332506,Não
197,10000000,15,-1,59,85,13330719,Não
198,10000000,15,-1,60,24,13332764,Não
199,10000000,15,-1,60,28,13334524,Não
200,10000000,15,-1,59,15,13336707,Não
